Device Name (ID),Node name,Device Type,Fleet,Plate No,Vehicle Type,SIM,SIM IP,ICCID,Wi-Fi IP,IMEI,Telephone,Chassis No,Installation date,Create date,Last Online Time,Last Offline Time,Access Mode,Channel Name,Terminal model,App version,Audio-video Count,Intercom Count,Input Number,Output Number,Cloud Recording Channel,Remarks
3072922657(3072922657),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.134,861553070914482,,1G4WX25J1400098,19/07/2024,09/01/2026 19:21:03,16/01/2026 22:19:00,16/01/2026 22:27:18,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072922723(3072922723),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.222,,,1G4WX25J1400060,19/07/2024,09/01/2026 19:21:03,09/01/2026 23:39:48,09/01/2026 23:45:43,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072924323(3072924323),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.155,861553070914482,,1G4WX25J1400042,19/07/2024,09/01/2026 19:21:03,17/01/2026 04:41:05,17/01/2026 04:45:06,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072924828(3072924828),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.226,861553070914482,,1G4WX25J1400002,19/07/2024,09/01/2026 19:21:03,17/01/2026 02:31:10,17/01/2026 02:32:42,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072926807(3072926807),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.245,861553072926807,,1G4WX25J1400061,19/07/2024,09/01/2026 19:21:03,09/01/2026 22:50:03,09/01/2026 22:53:29,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072928985(3072928985),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553072928985,,1G4WX25F0500075,19/07/2024,30/10/2025 09:56:35,21/11/2025 10:39:10,21/11/2025 10:47:28,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3072930205(3072930205),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.193,861553070914482,,1G4WX25J1400039,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:48:15,10/01/2026 00:51:24,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072930791(3072930791),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.214,861553070914482,,1G4WX25J1400040,19/07/2024,09/01/2026 19:21:03,16/01/2026 22:50:33,16/01/2026 22:54:37,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931088(3072931088),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.148,861553072931088,,1G4WX25J1400048,19/07/2024,09/01/2026 19:21:03,17/01/2026 01:46:31,17/01/2026 02:00:49,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931302(3072931302),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.136,861553070914482,,1G4WX25J1400066,19/07/2024,09/01/2026 19:21:03,17/01/2026 03:14:59,17/01/2026 03:18:52,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931435(3072931435),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.132,861553072931435,,1G4WX25J1400080,19/07/2024,09/01/2026 19:21:03,09/01/2026 19:23:11,09/01/2026 19:28:57,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931492(3072931492),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.202,861553070914482,,1G4WX25J1400092,19/07/2024,09/01/2026 19:21:03,09/01/2026 23:43:33,09/01/2026 23:47:05,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931559(3072931559),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.142,861553072931559,,1G4WX25J1400067,19/07/2024,09/01/2026 19:21:03,09/01/2026 19:38:02,09/01/2026 19:42:36,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072931666(3072931666),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.223,861553070914482,,1G4WX25J1400099,19/07/2024,09/01/2026 19:21:03,09/01/2026 20:23:20,09/01/2026 20:26:56,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072934488(3072934488),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.219,861553072934488,,1G4WX25J1400030,19/07/2024,09/01/2026 19:21:03,09/01/2026 20:10:47,09/01/2026 20:10:55,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072934546(3072934546),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.226,861553070914482,,1G4WX25J1400095,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:29:46,10/01/2026 00:33:14,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072935782(3072935782),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.217,861553070914482,,1G4WX25J1400035,19/07/2024,09/01/2026 19:21:03,10/01/2026 01:17:32,10/01/2026 01:20:10,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072935840(3072935840),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.179,861553072935840,,1G4WX25J1400023,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:13:08,10/01/2026 00:14:23,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072938158(3072938158),Central node,Hero-ME31-08,3.- Equipos Nuevos,,A1,,,,,861553072938158,,1G4WX25F0500247,,07/08/2025 15:53:54,,,Offline,DMS;ADAS;CH3;CH4;CH5;CH6;CH7;CH8,,,8,1,8,2,,
3072938257(3072938257),Central node,Hero-ME31-08,Default Fleet,,A1,,,,,861553072938257,,1G4WX25F0500104,,07/08/2025 15:53:54,13/12/2025 10:22:14,13/12/2025 10:25:36,Offline,DMS;ADAS;CH3;CH4;CH5;CH6;CH7;CH8,ME40-04NA,P25032001.A2078,8,1,8,2,,
3072939776(3072939776),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.209,861553070914482,,1G4WX25J1400069,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:45:47,10/01/2026 00:46:24,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072939909(3072939909),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.248,861553070914482,,1G4WX25J1400089,19/07/2024,09/01/2026 19:21:03,16/01/2026 23:09:55,16/01/2026 23:15:13,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072940352(3072940352),Central node,Hero-ME30-04,EVO_DESINSTALADO,,A1,,,8951101139058243387F,,861553072940352,,1G4WX25F0500170,10/02/2026,30/10/2025 09:56:35,03/03/2026 15:08:56,03/03/2026 15:15:46,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3072940469(3072940469),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553072940469,,1G4WX25F0500222,19/07/2024,30/10/2025 09:56:35,20/11/2025 13:44:54,20/11/2025 13:57:01,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3072941319(3072941319),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.187,861553070914482,,1G4WX25J1400071,19/07/2024,09/01/2026 19:21:03,17/01/2026 01:46:33,17/01/2026 02:00:46,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072941343(3072941343),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.180,861553070914482,,1G4WX25J1400022,19/07/2024,09/01/2026 19:21:03,10/01/2026 03:05:28,10/01/2026 03:06:54,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072941350(3072941350),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,192.168.1.232,861553070914482,,1G4WX25J1400003,19/07/2024,09/01/2026 19:21:03,10/01/2026 00:07:42,10/01/2026 00:10:29,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25121801.3305,8,1,8,2,,
3072941525(3072941525),Central node,Hero-ME31-08,3.- Equipos Nuevos,,A1,,,,,861553072941525,,1G4WX25F0500206,,07/08/2025 15:53:54,18/08/2025 14:31:44,18/08/2025 14:49:49,Offline,DMS;ADAS;CH3;CH4;CH5;CH6;CH7;CH8,ME40-04NA,P25032001.A2078,8,1,8,2,,
3072941731(3072941731),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,192.168.1.223,861553072941731,,1G4WX25F0500208,19/07/2024,30/10/2025 09:56:35,19/01/2026 18:31:58,19/01/2026 18:31:59,Offline,CH1;CH2;CH3;CH4,ME40-04NA,T25120501.A3208,4,1,2,2,,
3073018620(3073018620),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073018620,,1G4WX25J2100024,30/07/2024,12/01/2026 11:15:26,20/01/2026 00:33:10,20/01/2026 00:47:46,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073020287(3073020287),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,,861553073020287,,1G4WX25G2500111,,09/09/2025 15:24:55,11/09/2025 14:09:45,11/09/2025 14:11:28,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25042601.2163,8,1,2,2,,
3073020311(3073020311),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073020311,,1G4WX25J2100092,20/07/2024,12/01/2026 11:15:26,20/01/2026 00:32:46,20/01/2026 00:35:31,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073021772(3073021772),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073021772,,1G4WX25J2100077,25/07/2024,12/01/2026 11:15:26,19/01/2026 22:22:10,19/01/2026 22:24:34,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073022317(3073022317),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073022317,,1G4WX25J2100018,12/09/2024,12/01/2026 11:15:26,23/01/2026 03:04:43,23/01/2026 03:11:35,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073032530(3073032530),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073032530,,1G4WX25J2100141,04/08/2024,12/01/2026 11:15:26,20/01/2026 03:00:28,20/01/2026 03:03:22,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073032647(3073032647),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073032647,,1G4WX25J2100145,11/09/2024,12/01/2026 11:15:26,23/01/2026 03:04:43,23/01/2026 03:11:25,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073036077(3073036077),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073036077,,1G4WX25J2100183,03/10/2024,12/01/2026 11:15:26,20/01/2026 23:07:50,20/01/2026 23:09:10,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073036317(3073036317),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073036317,,1G4WX25J2100094,21/07/2024,12/01/2026 11:15:26,20/01/2026 01:03:10,20/01/2026 01:04:26,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073036671(3073036671),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073036671,,1G4WX25J2100095,17/09/2024,12/01/2026 11:15:26,23/01/2026 04:44:44,23/01/2026 04:49:18,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073036721(3073036721),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,,861553073036721,,1G4WX25G2500160,,09/09/2025 15:27:56,11/09/2025 12:26:17,11/09/2025 12:38:21,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25042601.2163,8,1,2,2,,
3073036762(3073036762),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073036762,,1G4WX25J2100087,23/07/2024,12/01/2026 11:15:26,20/01/2026 00:10:48,20/01/2026 00:11:51,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073036986(3073036986),Central node,ME31-08,3.- Equipos Nuevos,,A1,,,,,861553073036986,,1G4WX25G2500159,,09/09/2025 15:27:29,11/09/2025 12:26:20,11/09/2025 12:38:22,Offline,CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8,ME31-08N2,P25042601.2163,8,1,2,2,,
3073038081(3073038081),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073038081,,1G4WX25J2100143,26/07/2024,12/01/2026 11:15:26,20/01/2026 00:10:49,20/01/2026 00:13:57,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073038222(3073038222),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073038222,,1G4WX25J2100101,07/08/2024,12/01/2026 11:15:26,20/01/2026 01:52:18,20/01/2026 01:57:50,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073039063(3073039063),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073039063,,1G4WX25J2100132,29/07/2024,12/01/2026 11:15:26,19/01/2026 23:33:43,19/01/2026 23:36:57,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073039154(3073039154),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073039154,,1G4WX25J2100028,20/08/2024,12/01/2026 11:15:26,23/01/2026 02:07:54,23/01/2026 02:08:51,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073049609(3073049609),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073049609,,1G4WX25J2100008,10/08/2024,12/01/2026 11:15:26,20/01/2026 01:39:47,20/01/2026 01:40:45,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073051191(3073051191),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073051191,,1G4WX25J2100112,18/08/2024,12/01/2026 11:15:26,23/01/2026 02:20:55,23/01/2026 02:26:38,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073054385(3073054385),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073054385,,1G4WX25J2100075,19/07/2024,12/01/2026 11:15:26,19/01/2026 23:01:05,19/01/2026 23:04:02,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073058600(3073058600),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073058600,,1G4WX25J2100069,05/08/2024,12/01/2026 11:15:26,20/01/2026 03:06:13,20/01/2026 03:06:16,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073058642(3073058642),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073058642,,1G4WX25J2100126,17/08/2024,12/01/2026 11:15:26,23/01/2026 02:18:09,23/01/2026 02:26:46,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073058758(3073058758),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073058758,,1G4WX25J2100056,14/08/2024,12/01/2026 11:15:26,20/01/2026 02:28:33,20/01/2026 02:36:35,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
3073058949(3073058949),Central node,Hero-ME30-04,3.- Equipos Nuevos,,A1,,,,,861553073058949,,1G4WX25J2100102,10/09/2024,12/01/2026 11:15:26,23/01/2026 02:37:48,23/01/2026 02:45:20,Offline,CH1;CH2;CH3;CH4,ME40-04NA,P25032001.A2078,4,1,2,2,,
